"match_id","group","stage","match_date","kickoff","team_code","team_name","current_city","current_stadium","previous_match_id","previous_match_date","previous_city","previous_stadium","rest_days","moved_city","is_final_group_round","schedule_pressure_level","schedule_pressure_reason","source"
"58","Group J","Matchday 12","2026-06-22","20:00 UTC-7","ALG","Algeria","San Francisco Bay Area","San Francisco Bay Area Stadium","55","2026-06-16","Kansas City","Kansas City Stadium","6","YES","NO","中","休息时间相对正常，但存在跨城市移动。","calculated_from_data_matches_csv"
"63","Group K","Matchday 13","2026-06-23","12:00 UTC-5","POR","Portugal","Houston","Houston Stadium","61","2026-06-17","Houston","Houston Stadium","6","NO","NO","低","休息时间相对正常，且未跨城市移动。","calculated_from_data_matches_csv"
"63","Group K","Matchday 13","2026-06-23","12:00 UTC-5","UZB","Uzbekistan","Houston","Houston Stadium","62","2026-06-17","Mexico City","Mexico City Stadium","6","YES","NO","中","休息时间相对正常，但存在跨城市移动。","calculated_from_data_matches_csv"
"64","Group K","Matchday 13","2026-06-23","20:00 UTC-6","COL","Colombia","Guadalajara","Estadio Guadalajara","62","2026-06-17","Mexico City","Mexico City Stadium","6","YES","NO","中","休息时间相对正常，但存在跨城市移动。","calculated_from_data_matches_csv"
"64","Group K","Matchday 13","2026-06-23","20:00 UTC-6","COD","DR Congo","Guadalajara","Estadio Guadalajara","61","2026-06-17","Houston","Houston Stadium","6","YES","NO","中","休息时间相对正常，但存在跨城市移动。","calculated_from_data_matches_csv"
"69","Group L","Matchday 13","2026-06-23","16:00 UTC-4","ENG","England","Boston","Boston Stadium","67","2026-06-17","Dallas","Dallas Stadium","6","YES","NO","中","休息时间相对正常，但存在跨城市移动。","calculated_from_data_matches_csv"
"69","Group L","Matchday 13","2026-06-23","16:00 UTC-4","GHA","Ghana","Boston","Boston Stadium","68","2026-06-17","Toronto","Toronto Stadium","6","YES","NO","中","休息时间相对正常，但存在跨城市移动。","calculated_from_data_matches_csv"
"70","Group L","Matchday 13","2026-06-23","19:00 UTC-4","PAN","Panama","Toronto","Toronto Stadium","68","2026-06-17","Toronto","Toronto Stadium","6","NO","NO","低","休息时间相对正常，且未跨城市移动。","calculated_from_data_matches_csv"
"70","Group L","Matchday 13","2026-06-23","19:00 UTC-4","CRO","Croatia","Toronto","Toronto Stadium","67","2026-06-17","Dallas","Dallas Stadium","6","YES","NO","中","休息时间相对正常，但存在跨城市移动。","calculated_from_data_matches_csv"
"5","Group A","Matchday 14","2026-06-24","19:00 UTC-6","CZE","Czech Republic","Mexico City","Mexico City Stadium","3","2026-06-18","Atlanta","Atlanta Stadium","6","YES","YES","中","休息时间相对正常，但存在跨城市移动。","calculated_from_data_matches_csv"
"5","Group A","Matchday 14","2026-06-24","19:00 UTC-6","MEX","Mexico","Mexico City","Mexico City Stadium","4","2026-06-18","Guadalajara","Estadio Guadalajara","6","YES","YES","中","休息时间相对正常，但存在跨城市移动。","calculated_from_data_matches_csv"
"6","Group A","Matchday 14","2026-06-24","19:00 UTC-6","RSA","South Africa","Monterrey","Estadio Monterrey","3","2026-06-18","Atlanta","Atlanta Stadium","6","YES","YES","中","休息时间相对正常，但存在跨城市移动。","calculated_from_data_matches_csv"
"6","Group A","Matchday 14","2026-06-24","19:00 UTC-6","KOR","South Korea","Monterrey","Estadio Monterrey","4","2026-06-18","Guadalajara","Estadio Guadalajara","6","YES","YES","中","休息时间相对正常，但存在跨城市移动。","calculated_from_data_matches_csv"
"11","Group B","Matchday 14","2026-06-24","12:00 UTC-7","SUI","Switzerland","Vancouver","BC Place Vancouver","9","2026-06-18","Los Angeles","Los Angeles Stadium","6","YES","YES","中","休息时间相对正常，但存在跨城市移动。","calculated_from_data_matches_csv"
"11","Group B","Matchday 14","2026-06-24","12:00 UTC-7","CAN","Canada","Vancouver","BC Place Vancouver","10","2026-06-18","Vancouver","BC Place Vancouver","6","NO","YES","低","休息时间相对正常，且未跨城市移动。","calculated_from_data_matches_csv"
"12","Group B","Matchday 14","2026-06-24","12:00 UTC-7","BIH","Bosnia and Herzegovina","Seattle","Seattle Stadium","9","2026-06-18","Los Angeles","Los Angeles Stadium","6","YES","YES","中","休息时间相对正常，但存在跨城市移动。","calculated_from_data_matches_csv"
"12","Group B","Matchday 14","2026-06-24","12:00 UTC-7","QAT","Qatar","Seattle","Seattle Stadium","10","2026-06-18","Vancouver","BC Place Vancouver","6","YES","YES","中","休息时间相对正常，但存在跨城市移动。","calculated_from_data_matches_csv"
"17","Group C","Matchday 14","2026-06-24","18:00 UTC-4","SCO","Scotland","Miami","Miami Stadium","15","2026-06-19","Boston","Boston Stadium","5","YES","YES","中","休息时间相对正常，但存在跨城市移动。","calculated_from_data_matches_csv"
