"match_id","match_date","kickoff","stage","group","team_a","team_b","stadium_id","city","country","stadium","status","team_a_code","team_b_code","score_a","score_b","team_a_placeholder","team_b_placeholder"
"37","2026-06-15","12:00 UTC-7","Matchday 5","Group G","Belgium","Egypt","SEA","Seattle","USA","Seattle Stadium","scheduled","BEL","EGY","","","false","false"
"38","2026-06-15","18:00 UTC-7","Matchday 5","Group G","Iran","New Zealand","LA","Los Angeles","USA","Los Angeles Stadium","scheduled","IRN","NZL","","","false","false"
"39","2026-06-21","12:00 UTC-7","Matchday 11","Group G","Belgium","Iran","LA","Los Angeles","USA","Los Angeles Stadium","scheduled","BEL","IRN","","","false","false"
"40","2026-06-21","18:00 UTC-7","Matchday 11","Group G","New Zealand","Egypt","VAN","Vancouver","Canada","BC Place Vancouver","scheduled","NZL","EGY","","","false","false"
"41","2026-06-26","20:00 UTC-7","Matchday 16","Group G","Egypt","Iran","SEA","Seattle","USA","Seattle Stadium","scheduled","EGY","IRN","","","false","false"
"42","2026-06-26","20:00 UTC-7","Matchday 16","Group G","New Zealand","Belgium","VAN","Vancouver","Canada","BC Place Vancouver","scheduled","NZL","BEL","","","false","false"
"43","2026-06-15","12:00 UTC-4","Matchday 5","Group H","Spain","Cape Verde","ATL","Atlanta","USA","Atlanta Stadium","scheduled","ESP","CPV","","","false","false"
"44","2026-06-15","18:00 UTC-4","Matchday 5","Group H","Saudi Arabia","Uruguay","MIA","Miami","USA","Miami Stadium","scheduled","KSA","URU","","","false","false"
"45","2026-06-21","12:00 UTC-4","Matchday 11","Group H","Spain","Saudi Arabia","ATL","Atlanta","USA","Atlanta Stadium","scheduled","ESP","KSA","","","false","false"
"46","2026-06-21","18:00 UTC-4","Matchday 11","Group H","Uruguay","Cape Verde","MIA","Miami","USA","Miami Stadium","scheduled","URU","CPV","","","false","false"
"47","2026-06-26","19:00 UTC-5","Matchday 16","Group H","Cape Verde","Saudi Arabia","HOU","Houston","USA","Houston Stadium","scheduled","CPV","KSA","","","false","false"
"48","2026-06-26","18:00 UTC-6","Matchday 16","Group H","Uruguay","Spain","GDL","Guadalajara","Mexico","Estadio Guadalajara","scheduled","URU","ESP","","","false","false"
"49","2026-06-16","15:00 UTC-4","Matchday 6","Group I","France","Senegal","NYNJ","New York/New Jersey","USA","New York New Jersey Stadium","scheduled","FRA","SEN","","","false","false"
"50","2026-06-16","18:00 UTC-4","Matchday 6","Group I","Iraq","Norway","BOS","Boston","USA","Boston Stadium","scheduled","IRQ","NOR","","","false","false"
"51","2026-06-22","17:00 UTC-4","Matchday 12","Group I","France","Iraq","PHI","Philadelphia","USA","Philadelphia Stadium","scheduled","FRA","IRQ","","","false","false"
"52","2026-06-22","20:00 UTC-4","Matchday 12","Group I","Norway","Senegal","NYNJ","New York/New Jersey","USA","New York New Jersey Stadium","scheduled","NOR","SEN","","","false","false"
"53","2026-06-26","15:00 UTC-4","Matchday 16","Group I","Norway","France","BOS","Boston","USA","Boston Stadium","scheduled","NOR","FRA","","","false","false"
"54","2026-06-26","15:00 UTC-4","Matchday 16","Group I","Senegal","Iraq","TOR","Toronto","Canada","Toronto Stadium","scheduled","SEN","IRQ","","","false","false"
"55","2026-06-16","20:00 UTC-5","Matchday 6","Group J","Argentina","Algeria","KC","Kansas City","USA","Kansas City Stadium","scheduled","ARG","ALG","","","false","false"
"56","2026-06-16","21:00 UTC-7","Matchday 6","Group J","Austria","Jordan","SF","San Francisco Bay Area","USA","San Francisco Bay Area Stadium","scheduled","AUT","JOR","","","false","false"
"57","2026-06-22","12:00 UTC-5","Matchday 12","Group J","Argentina","Austria","DAL","Dallas","USA","Dallas Stadium","scheduled","ARG","AUT","","","false","false"
"58","2026-06-22","20:00 UTC-7","Matchday 12","Group J","Jordan","Algeria","SF","San Francisco Bay Area","USA","San Francisco Bay Area Stadium","scheduled","JOR","ALG","","","false","false"
"59","2026-06-27","21:00 UTC-5","Matchday 17","Group J","Algeria","Austria","KC","Kansas City","USA","Kansas City Stadium","scheduled","ALG","AUT","","","false","false"
"60","2026-06-27","21:00 UTC-5","Matchday 17","Group J","Jordan","Argentina","DAL","Dallas","USA","Dallas Stadium","scheduled","JOR","ARG","","","false","false"
"61","2026-06-17","12:00 UTC-5","Matchday 7","Group K","Portugal","DR Congo","HOU","Houston","USA","Houston Stadium","scheduled","POR","COD","","","false","false"
"62","2026-06-17","20:00 UTC-6","Matchday 7","Group K","Uzbekistan","Colombia","MEX","Mexico City","Mexico","Mexico City Stadium","scheduled","UZB","COL","","","false","false"
"63","2026-06-23","12:00 UTC-5","Matchday 13","Group K","Portugal","Uzbekistan","HOU","Houston","USA","Houston Stadium","scheduled","POR","UZB","","","false","false"
"64","2026-06-23","20:00 UTC-6","Matchday 13","Group K","Colombia","DR Congo","GDL","Guadalajara","Mexico","Estadio Guadalajara","scheduled","COL","COD","","","false","false"
"65","2026-06-27","19:30 UTC-4","Matchday 17","Group K","Colombia","Portugal","MIA","Miami","USA","Miami Stadium","scheduled","COL","POR","","","false","false"
"66","2026-06-27","19:30 UTC-4","Matchday 17","Group K","DR Congo","Uzbekistan","ATL","Atlanta","USA","Atlanta Stadium","scheduled","COD","UZB","","","false","false"
"67","2026-06-17","15:00 UTC-5","Matchday 7","Group L","England","Croatia","DAL","Dallas","USA","Dallas Stadium","scheduled","ENG","CRO","","","false","false"
"68","2026-06-17","19:00 UTC-4","Matchday 7","Group L","Ghana","Panama","TOR","Toronto","Canada","Toronto Stadium","scheduled","GHA","PAN","","","false","false"
"69","2026-06-23","16:00 UTC-4","Matchday 13","Group L","England","Ghana","BOS","Boston","USA","Boston Stadium","scheduled","ENG","GHA","","","false","false"
"70","2026-06-23","19:00 UTC-4","Matchday 13","Group L","Panama","Croatia","TOR","Toronto","Canada","Toronto Stadium","scheduled","PAN","CRO","","","false","false"
"71","2026-06-27","17:00 UTC-4","Matchday 17","Group L","Panama","England","NYNJ","New York/New Jersey","USA","New York New Jersey Stadium","scheduled","PAN","ENG","","","false","false"
"72","2026-06-27","17:00 UTC-4","Matchday 17","Group L","Croatia","Ghana","PHI","Philadelphia","USA","Philadelphia Stadium","scheduled","CRO","GHA","","","false","false"
"73","2026-06-28","12:00 UTC-7","Round of 32","","2A","2B","LA","Los Angeles","USA","Los Angeles Stadium","scheduled","","","","","true","true"
"74","2026-06-29","16:30 UTC-4","Round of 32","","1E","3A/B/C/D/F","BOS","Boston","USA","Boston Stadium","scheduled","","","","","true","true"
"75","2026-06-29","19:00 UTC-6","Round of 32","","1F","2C","MTY","Monterrey","Mexico","Estadio Monterrey","scheduled","","","","","true","true"
"76","2026-06-29","12:00 UTC-5","Round of 32","","1C","2F","HOU","Houston","USA","Houston Stadium","scheduled","","","","","true","true"
"77","2026-06-30","17:00 UTC-4","Round of 32","","1I","3C/D/F/G/H","NYNJ","New York/New Jersey","USA","New York New Jersey Stadium","scheduled","","","","","true","true"
"78","2026-06-30","12:00 UTC-5","Round of 32","","2E","2I","DAL","Dallas","USA","Dallas Stadium","scheduled","","","","","true","true"
"79","2026-06-30","19:00 UTC-6","Round of 32","","1A","3C/E/F/H/I","MEX","Mexico City","Mexico","Mexico City Stadium","scheduled","","","","","true","true"
"80","2026-07-01","12:00 UTC-4","Round of 32","","1L","3E/H/I/J/K","ATL","Atlanta","USA","Atlanta Stadium","scheduled","","","","","true","true"
"81","2026-07-01","17:00 UTC-7","Round of 32","","1D","3B/E/F/I/J","SF","San Francisco Bay Area","USA","San Francisco Bay Area Stadium","scheduled","","","","","true","true"
"82","2026-07-01","13:00 UTC-7","Round of 32","","1G","3A/E/H/I/J","SEA","Seattle","USA","Seattle Stadium","scheduled","","","","","true","true"
"83","2026-07-02","19:00 UTC-4","Round of 32","","2K","2L","TOR","Toronto","Canada","Toronto Stadium","scheduled","","","","","true","true"
"84","2026-07-02","12:00 UTC-7","Round of 32","","1H","2J","LA","Los Angeles","USA","Los Angeles Stadium","scheduled","","","","","true","true"
"85","2026-07-02","20:00 UTC-7","Round of 32","","1B","3E/F/G/I/J","VAN","Vancouver","Canada","BC Place Vancouver","scheduled","","","","","true","true"
"86","2026-07-03","18:00 UTC-4","Round of 32","","1J","2H","MIA","Miami","USA","Miami Stadium","scheduled","","","","","true","true"
